Model,Accuracy,Precision,Recall,F1
Baseline,0.6708860759493671,0.6708860759493671,1.0,0.803030303030303
Logistic Regression,0.6582278481012658,0.7166666666666667,0.8113207547169812,0.7610619469026548
KNN,0.6329113924050633,0.6714285714285714,0.8867924528301887,0.7642276422764228
Random Forest,0.6582278481012658,0.6805555555555556,0.9245283018867925,0.784
